pubid,gsid,univ
10052045795527484033,Lh7VfoMAAAAJ,Worcester Polytechnic Institute
10052165872482893556,53RlhUcAAAAJ,University of Notre Dame
10052165872482893556,Ru4B_wkAAAAJ,Washington State University
10052651618456930182,jJPSj0IAAAAJ,University of Maryland - College Park
10052969385855870141,5tk1PV8AAAAJ,Cornell University
10052969385855870141,uBFV6SUAAAAJ,Cornell University
10053032369188945266,9ZGqm5QAAAAJ,University of Washington
10054222692428995048,gValByUAAAAJ,Texas A&M University
10054312007506681044,rBVA5tcAAAAJ,University of Massachusetts Amherst
10054388441993484580,eVJ6NTIAAAAJ,University of Chicago
10054552134090504742,JnWSU4oAAAAJ,University of Pennsylvania
10054706216085975800,HkB_Gz0AAAAJ,George Mason University
10055249137243072657,78OLNd4AAAAJ,University of California - Santa Cruz
10055453231400383555,snDpfA0AAAAJ,Oregon State University
10055544396636955969,x9kzObUAAAAJ,Northeastern University
10055567055386330469,maC331oAAAAJ,George Washington University
10055733841367299972,8zeXprkAAAAJ,DePaul University
10056323971110413581,WV7XovQAAAAJ,Washington University in St. Louis
10056732989349225488,D_JpQnAAAAAJ,Carnegie Mellon University
10056927325213899246,5Aut7EEAAAAJ,University of California - San Diego
10057930202544496162,1LUuMc8AAAAJ,Arizona State University
1005795483691533160,i0zT6P4AAAAJ,Old Dominion University
10058275613139498361,AH5j40kAAAAJ,Cornell University
10058482406443308253,98W28JoAAAAJ,University of Southern California
10058977175091244778,1rPSVNAAAAAJ,University of Nevada
10059048678373302501,QH90248AAAAJ,University of Arizona
10059142434827448132,ReEG0FwAAAAJ,West Virginia University
10059258119086600916,z0KD3z4AAAAJ,University of Colorado Boulder
10059597708922491885,u8358QgAAAAJ,Purdue University
10059849912664372950,x6OIBq4AAAAJ,Univ. of Illinois at Urbana-Champaign
10060088992831838157,Q-UHlQ0AAAAJ,University of Nebraska
10060434011964336488,ElJBmvgAAAAJ,Univ. of Maryland - Baltimore County
10061032556848159065,dmCZvnsAAAAJ,Worcester Polytechnic Institute
10061425578880888980,QrS2y5sAAAAJ,University of Notre Dame
10061571542721616148,v6PsQKIAAAAJ,University of Maryland - College Park
1006168720295500012,Qu_xQjYAAAAJ,Washington University in St. Louis
10061865059286400860,l8b0bfcAAAAJ,Florida International University
10062657306184557239,Yg_QjxcAAAAJ,Georgia Institute of Technology
10062833725040198248,Y8-xGncAAAAJ,University of California - Santa Cruz
10062923744221416078,1W7pOqkAAAAJ,Texas Tech University
10062923744221416078,IcXx2DkAAAAJ,Texas Tech University
10063125335968540240,hRggMmIAAAAJ,Georgia Institute of Technology
10063125335968540240,nwHfwCIAAAAJ,University of Washington
10063274715807445047,JDctypMAAAAJ,Vanderbilt University
10063301861181030036,O125w4cAAAAJ,NJIT
10063507962005307836,MYqlcPgAAAAJ,University of Washington
100636095854060848,jG2EBooAAAAJ,Florida International University
10063992686600300270,UVGe0gQAAAAJ,University of California - Los Angeles
10064301513166749902,fX-IFZsAAAAJ,University of Connecticut
10064466882967847321,4fB3vrQAAAAJ,Worcester Polytechnic Institute
10065506392849151172,oZafLf4AAAAJ,University of California - San Diego
10066724327303538484,eRQZhUAAAAAJ,Clemson University
10066732044678034815,Lsr_-hsAAAAJ,Carnegie Mellon University
10067900744068806897,orHlhhQAAAAJ,Univ. of Illinois at Urbana-Champaign
10069062084854110590,gwC7rCUAAAAJ,Rutgers University
10069148129619822662,1SJPBDAAAAAJ,University of Oregon
10069280392711806693,WfGLzyAAAAAJ,Purdue University
10069493038083635761,m201flcAAAAJ,Georgia Institute of Technology
10069620076295926070,T_gzzdAAAAAJ,George Washington University
10070193688283288752,bhO5bMAAAAAJ,University of California - Riverside
10070480053078960029,WeRUynMAAAAJ,University of Utah
10070612871240971212,71RQt3sAAAAJ,Yale University
10070767384945090551,tkoI1M4AAAAJ,Colorado School of Mines
10070914389796638748,DJ6--hMAAAAJ,Massachusetts Institute of Technology
10070914389796638748,I1EvjZsAAAAJ,Stanford University
10071538180028882343,Y3wdd8oAAAAJ,University of Wisconsin - Madison
10072903859853210293,5m-oAesAAAAJ,Univ. of Illinois at Urbana-Champaign
1007292092231097608,wSQ6KZYAAAAJ,NJIT
10073167412279013567,BgGQiWkAAAAJ,North Carolina State University
10073262615337514424,lcsu7m8AAAAJ,University of California - Irvine
10073659988440583901,221a1fkAAAAJ,Virginia Tech
10074936769679004659,YhWnhQEAAAAJ,Iowa State University
10075009510848720395,h6h5FdoAAAAJ,University of Pennsylvania
10075354193540540129,T8-BGRsAAAAJ,University of Pittsburgh
10075623064894685095,7MOW-j4AAAAJ,University of Maryland - College Park
10076220261153324659,7r0_F0kAAAAJ,University of Virginia
10076379642081923399,7IiUQDkAAAAJ,Michigan State University
10077231119609031173,F4tTgLQAAAAJ,Arizona State University
10078486400544743140,kOc0x0MAAAAJ,Arizona State University
10079897670976242767,hrQOcZcAAAAJ,Texas A&M University
10080196381646181609,sxjynOsAAAAJ,Cornell University
10080207854820664411,70oIOKIAAAAJ,Michigan State University
10080739569664718180,lsYXBx8AAAAJ,Massachusetts Institute of Technology
10080739569664718180,XoMpU7gAAAAJ,University of California - Los Angeles
10080836773410242688,z13bIdkAAAAJ,University of Notre Dame
10081151786114807584,CDpfbBsAAAAJ,Towson University
10081452530622310355,_pRB0HIAAAAJ,University of Colorado Boulder
10081693973513326997,gJ3JGSsAAAAJ,University of Houston
