gsid,name,university
38ev4xkAAAAJ,David Fernández-Baca,Iowa State University
38RuCN4AAAAJ,Lu Su,University at Buffalo
3a-0dbMAAAAJ,Himanshu Gupta,Stony Brook University
3aj4AM4AAAAJ,Yelena Yesha,Univ. of Maryland - Baltimore County
3ALpUOEAAAAJ,Patrick Carrington,Carnegie Mellon University
3aw_314AAAAJ,Stephen A. Edwards,Columbia University
3B2c31wAAAAJ,Alexander G. Schwing,Univ. of Illinois at Urbana-Champaign
3BX3vWcAAAAJ,Eugene Agichtein,Emory University
3cozMf4AAAAJ,Nathan Schneider,Georgetown University
3ctKkysAAAAJ,Douglas W. Oard,University of Maryland - College Park
3EfsOvYAAAAJ,Saurabh Bagchi,Purdue University
3hy76zkAAAAJ,Hulya Seferoglu,University of Illinois at Chicago
3idW4TkAAAAJ,Wheeler Ruml,University of New Hampshire
3ifikJ0AAAAJ,Su-In Lee,University of Washington
3itxM90AAAAJ,Kanad Ghose,Binghamton University
3JZB10QAAAAJ,Pamela Karr Wisniewski,University of Central Florida
3L1yQeQAAAAJ,Chung-chieh Shan,Indiana University
3lB8Y8kAAAAJ,James A. Jones,University of California - Irvine
3MzhkFIAAAAJ,Carl Vondrick,Columbia University
3o2441cAAAAJ,Panruo Wu,University of Houston
3OlOXn4AAAAJ,Suining He,University of Connecticut
3oyf5I4AAAAJ,John Lillis,University of Illinois at Chicago
3p-KQUwAAAAJ,Sahand N. Negahban,Yale University
3PkyzawAAAAJ,Prashant Doshi,University of Georgia
3prQpXgAAAAJ,Odelia Schwartz,University of Miami
3-PRZG0AAAAJ,Peter M. Kogge,University of Notre Dame
3pXvHPUAAAAJ,Wendy Hui Wang,Stevens Institute of Technology
3qJQjIYAAAAJ,Sasa Misailovic,Univ. of Illinois at Urbana-Champaign
3qPiYJoAAAAJ,Devavrat Shah,Massachusetts Institute of Technology
3qYUSDwAAAAJ,Ulugbek S. Kamilov,Washington University in St. Louis
3S5qpXsAAAAJ,Carl A. Gunter,Univ. of Illinois at Urbana-Champaign
3siz6_0AAAAJ,Matthew Stone,Rutgers University
3WEijrIAAAAJ,Holly A. Yanco,University of Massachusetts Lowell
3Ws6G2AAAAAJ,Dirk Grunwald,University of Colorado Boulder
3_WYcR4AAAAJ,Deborah Estrin,Cornell University
3x4_nY4AAAAJ,Hasan M. Jamil,University of Idaho
3x65qtwAAAAJ,Abhinav Bhatele,University of Maryland - College Park
3X9nW80AAAAJ,Samuel Z. Guyer,Tufts University
3Xql0fwAAAAJ,Blase Ur,University of Chicago
3z4VbdIAAAAJ,Wayne B. Hayes,University of California - Irvine
41QkAiUAAAAJ,John M. Hollerbach,University of Utah
4_1z8yEAAAAJ,Spyros Blanas,Ohio State University
45vFd_0AAAAJ,Hyunsook Do,University of North Texas
46HLWf8AAAAJ,Luay Nakhleh,Rice University
481oUzkAAAAJ,Aron Culotta,Illinois Institute of Technology
4arkOLcAAAAJ,Oussama Khatib,Stanford University
4bHar00AAAAJ,Gillian Smith,Worcester Polytechnic Institute
4BrebIYAAAAJ,Steven H. Low,California Institute of Technology
4C9naMgAAAAJ,Ravi Netravali 0001,University of California - Los Angeles
4e2pnKYAAAAJ,Nicholas J. Hopper,University of Minnesota
4eFjSTIAAAAJ,Joseph E. Michaelis,University of Illinois at Chicago
_4EISRwAAAAJ,Katharina Reinecke,University of Washington
4EjRiycAAAAJ,Shannon Quinn,University of Georgia
4EPE1s4AAAAJ,Zhanpeng Jin,University at Buffalo
4esyQS4AAAAJ,Anselm Blumer,Tufts University
4F2la7sAAAAJ,Xiaohui Yuan,University of North Texas
4fB3vrQAAAAJ,Marko B. Popovic,Worcester Polytechnic Institute
4FQXSP8AAAAJ,V. K. Prasanna Kumar,University of Southern California
4fvo61oAAAAJ,Howie Choset,Carnegie Mellon University
4glkLD0AAAAJ,Mihai Pop,University of Maryland - College Park
4HTITaMAAAAJ,Rose Yu,Northeastern University
4Hywr5UAAAAJ,Haixu Tang,Indiana University
4k0lzWwAAAAJ,Charalampos Papamanthou,University of Maryland - College Park
4LCdnkYAAAAJ,Gregory R. Andrews,University of Arizona
4M-iGXMAAAAJ,Andrew Lo,Massachusetts Institute of Technology
4Mj-BjwAAAAJ,Mary Jane Irwin,Pennsylvania State University
4nYbZ0YAAAAJ,Patrick Yin Chiang,Oregon State University
4O-rMYEAAAAJ,Ronald G. Dreslinski,University of Michigan
4OvOdSgAAAAJ,Adam Wierman,California Institute of Technology
4QIV0FUAAAAJ,Aduri Pavan,Iowa State University
4QIV0FUAAAAJ,A. Pavan 0001,Iowa State University
4q-QenMAAAAJ,Scott A. Smolka,Stony Brook University
4rPcoCEAAAAJ,Weisong Shi,Wayne State University
