gsid,name,university
K_-KJi8AAAAJ,Lorenzo Alvisi,Cornell University
k_K-PFkAAAAJ,Katherine St. John,CUNY
KKUAx0sAAAAJ,Frédéric Gibou,University of California - Santa Barbara
kKyEuTcAAAAJ,Nirupam Roy,University of Maryland - College Park
_kl2qQQAAAAJ,Lorie Loeb,Dartmouth College
klBvLwYAAAAJ,Zhijia Zhao 0001,University of California - Riverside
kLNLkgkAAAAJ,Scott D. Fleming,University of Memphis
KlTD9RQAAAAJ,Yuliya Lierler,University of Nebraska - Omaha
KltleWgAAAAJ,Matthew Turk,University of California - Santa Barbara
kLUQrrYAAAAJ,Aaron Leon Roth,University of Pennsylvania
kLUQrrYAAAAJ,Aaron Roth 0001,University of Pennsylvania
kLUW0psAAAAJ,Jakob Eriksson,University of Illinois at Chicago
KlVbOkMAAAAJ,Nianwen Xue,Brandeis University
kM95eWgAAAAJ,Thomas Plötz,Georgia Institute of Technology
KmSuVtgAAAAJ,Tom Goldstein,University of Maryland - College Park
_KNDS-kZ-nIJ,Dan Cosley,Cornell University
kOc0x0MAAAAJ,Mohamed Sarwat,Arizona State University
kOfRa7MAAAAJ,Sharath Raghvendra,Virginia Tech
KoJrMIAAAAAJ,Jacob Feldman,Rutgers University
kOUPR1sAAAAJ,Gagan Agrawal,Ohio State University
KPjFQ4AAAAAJ,Fahad R. Dogar,Tufts University
KpWOS14AAAAJ,Mainak Chatterjee,University of Central Florida
kPyVN7AAAAAJ,Richard P. Martin,Rutgers University
kqfLNK8AAAAJ,Srijan Kumar,Georgia Institute of Technology
kqPhodQAAAAJ,Andreas Haeberlen,University of Pennsylvania
_kqpoHIAAAAJ,Siddhartha Banerjee,Cornell University
KqtBi6MAAAAJ,Marc Niethammer,University of North Carolina
kqW_-2gAAAAJ,Nenad Medvidovic,University of Southern California
krcH9ZQAAAAJ,Thomas Peters,University of Connecticut
KRZoh34AAAAJ,Michael Gribskov,Purdue University
Kt1bjZoAAAAJ,Bing Liu 0001,University of Illinois at Chicago
kTTBpJkAAAAJ,Bryan Parno,Carnegie Mellon University
KTzRHmwAAAAJ,Byron C. Wallace,Northeastern University
kU6puLcAAAAJ,Christopher Michael Homan,Rochester Institute of Technology
Kv9AbjMAAAAJ,Jiawei Han 0001,Univ. of Illinois at Urbana-Champaign
KvfFlIMAAAAJ,Martin Erwig,Oregon State University
kVUa9ZoAAAAJ,Jennie Rogers,Northwestern University
KW0FmzgAAAAJ,Matthias Zwicker,University of Maryland - College Park
KWez2_sAAAAJ,Aviel D. Rubin,Johns Hopkins University
KWiJaj8AAAAJ,Mary Lou Soffa,University of Virginia
kWnv_YkAAAAJ,Rajeev Alur,University of Pennsylvania
KWqO1CgAAAAJ,Andrew Miller 0001,Univ. of Illinois at Urbana-Champaign
kWTef0wAAAAJ,Jeremy Holleman,University of Tennessee
kXB8FBoAAAAJ,Byron Boots,University of Washington
kxDm9EsAAAAJ,Harsha V. Madhyastha,University of Michigan
kXRSW2QAAAAJ,Derek Aguiar,University of Connecticut
kXZaMu8AAAAJ,Joseph J. LaViola,University of Central Florida
Ky1op0MAAAAJ,Gordon L. Kindlmann,University of Chicago
kYK4tvsAAAAJ,Jean H. Gallier,University of Pennsylvania
KYkeG14AAAAJ,Jennifer L. Leopold,Missouri University of Technology
KyXgRdQAAAAJ,George Wolberg,CUNY
KzESVKwAAAAJ,Luis Ceze,University of Washington
KZFo7ZkAAAAJ,José Meseguer,Univ. of Illinois at Urbana-Champaign
kzmSnEQAAAAJ,Nicholas Ruozzi,University of Texas at Dallas
L1pb8GUAAAAJ,Sandhya Dwarkadas,University of Rochester
l2Pr9m8AAAAJ,Smita Krishnaswamy,Yale University
l3KIq-MAAAAJ,Itsik Pe'er,Columbia University
l4QhOVoAAAAJ,Tien N. Nguyen,University of Texas at Dallas
-L50fhsAAAAJ,Suresh Singh,Portland State University
L5B7RAMAAAAJ,Michael Gowanlock,Northern Arizona University
l6M4h_YAAAAJ,Ziming Zhao 0001,Rochester Institute of Technology
L7jhqMIAAAAJ,Yusu Wang,Ohio State University
l7Qx0zAAAAAJ,Subhransu Maji,University of Massachusetts Amherst
L82mYv8AAAAJ,Daniel A. Spielman,Yale University
l8b0bfcAAAAJ,Jason Liu,Florida International University
L8zhVsMAAAAJ,Tiark Rompf,Purdue University
L9QufAsAAAAJ,Jeffrey A. Bilmes,University of Washington
l9zZMOYAAAAJ,Sang Woo Jun,University of California - Irvine
laqfZ-4AAAAJ,Chia-che Tsai,Texas A&M University
LAv0HTEAAAAJ,John F. Canny,University of California - Berkeley
lazJixIAAAAJ,Robert E. Tarjan,Princeton University
LB1dq_sAAAAJ,James Caverlee,Texas A&M University
LbDqMpIAAAAJ,György Turán,University of Illinois at Chicago
LbUcU9EAAAAJ,Ethan V. Munson,University of Wisconsin - Milwaukee
lBzZU1IAAAAJ,Alex C. Snoeren,University of California - San Diego
lc0ARagAAAAJ,Larry S. Davis,University of Maryland - College Park
lc3R9-wAAAAJ,Arpit Gupta,University of California - Santa Barbara
lCdBR8cAAAAJ,Boris Glavic,Illinois Institute of Technology
lcsu7m8AAAAJ,Qi Alfred Chen,University of California - Irvine
lESyc5QAAAAJ,Michael A. Jenkins,Queen’s University
Lf1hSacAAAAJ,Malte Schwarzkopf,Brown University
Lf2KB6cAAAAJ,Marco Levorato,University of California - Irvine
LfcroyAAAAAJ,David Sontag,Massachusetts Institute of Technology
lFh34ncAAAAJ,Yotam I. Gingold,George Mason University
lfLiQmcAAAAJ,Ryan Kastner,University of California - San Diego
LFxEgGoAAAAJ,Andrew Meneely,Rochester Institute of Technology
LgL2HpkAAAAJ,Kwan-Liu Ma,University of California - Davis
lGsfTIsAAAAJ,Daniel F. Keefe,University of Minnesota
lH1PdF8AAAAJ,Stefano Soatto,University of California - Los Angeles
Lh7VfoMAAAAJ,Xiangnan Kong,Worcester Polytechnic Institute
LhOAiXMAAAAJ,Duncan J. Watts,University of Pennsylvania
lHvOG4EAAAAJ,Ankur Agarwal,Florida Atlantic University
Li0F9VAAAAAJ,Sucheta Soundarajan,Syracuse University
LiAGLcwAAAAJ,Riccardo Bettati,Texas A&M University
Li-BrU4AAAAJ,Erik Gundersen Miller,University of Massachusetts Amherst
LIdVlPsAAAAJ,Gail E. Kaiser,Columbia University
LiH53A8AAAAJ,Mary Wootters,Stanford University
LIjnUGgAAAAJ,Alexander M. Rush,Cornell University
lJ8qjPAAAAAJ,Sharon Goldberg,Boston University
ljErD0gAAAAJ,Joshua San Miguel,University of Wisconsin - Madison
LjP106QAAAAJ,Amit Chakrabarti,Dartmouth College
Lka71pAAAAAJ,Engin Ipek,University of Rochester
LkoaA0gAAAAJ,Stacy Marsella,Northeastern University
llF8XbMAAAAJ,Sriraam Natarajan,University of Texas at Dallas
llo3F3QAAAAJ,Steve Marschner,Cornell University
llOUqhkAAAAJ,Shan Lin,Stony Brook University
lmjR_qMAAAAJ,Michael Mozer,University of Colorado Boulder
LmLKjyYAAAAJ,Zena M. Ariola,University of Oregon
lMUmE_UAAAAJ,Tsu-Jae King Liu,University of California - Berkeley
LnB5_AcAAAAJ,Hadi Esmaeilzadeh,University of California - San Diego
LnhCGNMAAAAJ,Elad Hazan,Princeton University
lNQmMTMAAAAJ,Ruoming Jin,Kent State University
LOFYnLkAAAAJ,Jim Hollan,University of California - San Diego
lOhijLUAAAAJ,Markus Schneider 0001,University of Florida
LoQXe24AAAAJ,Niklas Elmqvist,University of Maryland - College Park
LOV6_WIAAAAJ,Hannaneh Hajishirzi,University of Washington
LoXnMOIAAAAJ,Chandan K. Reddy,Virginia Tech
lPM8k54AAAAJ,Anindya De,University of Pennsylvania
lptAmrMAAAAJ,Soheil Feizi,University of Maryland - College Park
LPTkkxUAAAAJ,Nancy A. Lynch,Massachusetts Institute of Technology
LQ87h3sAAAAJ,Takeo Kanade,Carnegie Mellon University
lR6kCu4AAAAJ,Rahul Chatterjee 0001,University of Wisconsin - Madison
LrjJYV4k6WkC,Justin Thaler,Georgetown University
lRUi-A8AAAAJ,G. Stefano Sukhatme,University of Southern California
Ls94lsAAAAAJ,Edoardo S. Biagioni,University of Hawaii at Manoa
Lsr_-hsAAAAJ,Nancy S. Pollard,Carnegie Mellon University
_LsUHeoAAAAJ,Lane A. Hemaspaandra,University of Rochester
LsuWoRoAAAAJ,Richard E. Korf,University of California - Los Angeles
lsYXBx8AAAAJ,Manolis Kellis,Massachusetts Institute of Technology
lt3K0RcAAAAJ,Henri Casanova,University of Hawaii at Manoa
LtEcKBcAAAAJ,Changyou Chen,University at Buffalo
lU2Z7MMAAAAJ,William J. Beksi,University of Texas at Arlington
Lu7biGYAAAAJ,Phokion G. Kolaitis,University of California - Santa Cruz
LV1qWjgAAAAJ,Dexter Kozen,Cornell University
LW4lnZYAAAAJ,Susan B. Davidson,University of Pennsylvania
LWcEVAIAAAAJ,Deborah G. Tatar,Virginia Tech
LWlN_BUAAAAJ,Nina Balcan,Carnegie Mellon University
Lx9fbJoAAAAJ,Mohammad Sadoghi,University of California - Davis
L-xeJPoAAAAJ,Rebecca N. Wright,Rutgers University
lXvWihQAAAAJ,Haim Shvaytser,University of Texas at Dallas
LYt_4uIAAAAJ,Majid Sarrafzadeh,University of California - Los Angeles
LZIPfCkAAAAJ,Meng Jiang 0001,University of Notre Dame
lZnLhCcAAAAJ,Theodore Kim,Yale University
Lzw8EnkAAAAJ,Patrick C. Shih,Indiana University
m1IeAdcAAAAJ,Mingfu Shao,Pennsylvania State University
M1pa3_gAAAAJ,Ellen Riloff,University of Utah
m1qAiOUAAAAJ,Terrence J. Sejnowski,University of California - San Diego
m1VxcKcAAAAJ,David J. Feil-Seifer,University of Nevada
m201flcAAAAJ,Nancy J. Nersessian,Georgia Institute of Technology
M3VZmxIAAAAJ,Alexander G. Gray,Georgia Institute of Technology
M441iZ8AAAAJ,Karem A. Sakallah,University of Michigan
m4zCAPoAAAAJ,Grant Schoenebeck,University of Michigan
M5W9tuUAAAAJ,Thang N. Dinh,Virginia Commonwealth University
M6UHVQwAAAAJ,Huiping Cao,New Mexico State University
M6urChQAAAAJ,Aloysius K. Mok,University of Texas at Austin
M78g4SAAAAAJ,Monia Ghobadi,Massachusetts Institute of Technology
m9F7mIgAAAAJ,Michelle Borkin,Northeastern University
m9j4C0gAAAAJ,Sang-Yoon Chang,Univ. of Colorado Colorado Springs
MA8PTRUAAAAJ,Emanuele Viola,Northeastern University
MA8rI0MAAAAJ,Henrik Iskov Christensen,University of California - San Diego
maC331oAAAAJ,H. Howie Huang,George Washington University
mB_85m0AAAAJ,Harry Wechsler,George Mason University
mb8mQH8AAAAJ,Sanjam Garg,University of California - Berkeley
mbaG-mQAAAAJ,Sajal Kumar Das 0001,Missouri University of Technology
MbDzOP0AAAAJ,Lawson L. S. Wong,Northeastern University
MbF6rTEAAAAJ,Zhiwei Steven Wu,University of Minnesota
mbnBXEwAAAAJ,Yu Cao 0002,University of Massachusetts Lowell
mBqenhsAAAAJ,Shinjiro Sueda,Texas A&M University
MCe-I6wAAAAJ,David Zuckerman,University of Texas at Austin
MD9vpVQAAAAJ,Mehmet C. Vuran,University of Nebraska
MDCu0WEAAAAJ,Huy L. Nguyên,Northeastern University
MDfW21AAAAAJ,Pranjal Awasthi,Rutgers University
mDNhPjAAAAAJ,Tom Yeh,University of Colorado Boulder
MdTkXNYAAAAJ,Taylor T. Johnson,Vanderbilt University
mE0JBT0AAAAJ,Soon Ae Chun,CUNY
MEeYxLMAAAAJ,Dorsa Sadigh,Stanford University
MegF9mYAAAAJ,Sanjukta Bhowmick,University of Nebraska - Omaha
MEt-KIwAAAAJ,Ashok Srinivasan,Florida State University
mezKJyoAAAAJ,Cynthia Rudin,Duke University
mFcB0JMAAAAJ,Mai Zheng,New Mexico State University
MfLLOyMAAAAJ,Amotz Bar-Noy,CUNY
mFs4fikAAAAJ,Christos Dimoulas,Northwestern University
MGVrVSIAAAAJ,Thomas Ristenpart,Cornell University
mGxYfZUAAAAJ,Cristina Nita-Rotaru,Northeastern University
MHG755YAAAAJ,Sibin Mohan,Univ. of Illinois at Urbana-Champaign
mhKUSRMAAAAJ,David K. Lowenthal,University of Arizona
mhmvCgsAAAAJ,Jennifer Mankoff,University of Washington
mho7MawAAAAJ,Chicheng Zhang,University of Arizona
mHwonDEAAAAJ,Jun Xu 0014,Georgia Institute of Technology
MhYrLJAAAAAJ,Srinivasa G. Narasimhan,Carnegie Mellon University
mIF9BowAAAAJ,Abhinav Shrivastava,University of Maryland - College Park
mikE09kAAAAJ,Daniel W. Goldberg,Texas A&M University
mIZu9oQAAAAJ,James H. Anderson,University of North Carolina
_mj1-BQAAAAJ,Ibrahim Matta,Boston University
MjmBY5AAAAAJ,John C. Hart,Univ. of Illinois at Urbana-Champaign
mjsJxhQAAAAJ,Shlomo Engelson Argamon,Illinois Institute of Technology
MJyWxOYAAAAJ,Ravi Prakash,University of Texas at Dallas
MkC5kHcAAAAJ,Gene Spafford,Purdue University
Mkgn0qcAAAAJ,David R. Kaeli,Northeastern University
MkPz_FoAAAAJ,Weihang Wang,University at Buffalo
MKSxZp4AAAAJ,Rahul C. Basole,Georgia Institute of Technology
mlafJ6wAAAAJ,Gerome Miklau,University of Massachusetts Amherst
MLx5TCQAAAAJ,Bradford Campbell,University of Virginia
MlZq4XwAAAAJ,Yiming Yang,Carnegie Mellon University
Mm-dHpMAAAAJ,Alexandros Daglis,Georgia Institute of Technology
mN6_BKAAAAAJ,Taylor Berg-Kirkpatrick,University of California - San Diego
MNJ-E9UAAAAJ,V. S. Anil Kumar 0001,University of Virginia
MnnERiQAAAAJ,Krzysztof Z. Gajos,Harvard University
MNp5hwoAAAAJ,Gabe T. Sibley,University of Colorado Boulder
MnsxqAcAAAAJ,Nikita Borisov,Univ. of Illinois at Urbana-Champaign
MoFbcc0AAAAJ,Jason I. Hong,Carnegie Mellon University
_moJlrIAAAAJ,Xiang Ren,University of Southern California
mOraMN8AAAAJ,Tiffany Bao,Arizona State University
mP7h9LcAAAAJ,Loren Schwiebert,Wayne State University
MPRuFPsAAAAJ,Ali Saman Tosun,University of Texas at San Antonio
mqpjAt4AAAAJ,Judy Hoffman,Georgia Institute of Technology
_mRgp6cAAAAJ,Lawrence L. Larmore,University of Nevada Las Vegas
MRHzTAIAAAAJ,Diana Marculescu,Carnegie Mellon University
mRI6AogAAAAJ,Furong Huang,University of Maryland - College Park
mS1VzxkAAAAJ,Reza Curtmola,NJIT
M_soLLcAAAAJ,Roberto Perdisci,University of Georgia
msTpxlsAAAAJ,Anthony Faiola,University of Illinois at Chicago
mtejbKYAAAAJ,Michael Carbin,Massachusetts Institute of Technology
MTMmNecAAAAJ,Hakan Aydin,George Mason University
MTZaRW4AAAAJ,Sharad Mehrotra,University of California - Irvine
muk0-U4AAAAJ,Wade Trappe,Rutgers University
mveYvw8AAAAJ,Thomas W. Sederberg,Brigham Young University
MVxcjEoAAAAJ,Rong Ge 0001,Duke University
MvxSD2AAAAAJ,Scott Rixner,Rice University
MwIL3roAAAAJ,Bharat Jayaraman,University at Buffalo
MwLqCs4AAAAJ,Dan Boneh,Stanford University
mxv3BeAAAAAJ,Jack H. Lutz,Iowa State University
my5lwzIAAAAJ,Vicki L. Hanson,Rochester Institute of Technology
my6AUyAAAAAJ,Morteza Dehghani,University of Southern California
MYqlcPgAAAAJ,Thomas E. Anderson,University of Washington
MYsIXF4AAAAJ,Todd C. Mowry,Carnegie Mellon University
myYVVuYAAAAJ,Wendi Rabiner,University of Rochester
M-Z7bAIAAAAJ,Naghmeh Karimi,Univ. of Maryland - Baltimore County
MZKvGjYAAAAJ,Satish Narayanasamy,University of Michigan
mZKxB10AAAAJ,Liqiang Wang,University of Central Florida
mZxsTCcAAAAJ,Ramalingam Chellappa,University of Maryland - College Park
n0pDnzwAAAAJ,Catherine C. Marshall,Texas A&M University
N3Jc1zMAAAAJ,Ying Cai,Iowa State University
n3LTWi8AAAAJ,Walter L. Ruzzo,University of Washington
N4oy61IAAAAJ,Sharma Chakravarthy,University of Texas at Arlington
N5fPp3YAAAAJ,Kurt Rohloff,NJIT
n6bjh24AAAAJ,Svetlana Yarosh,University of Minnesota
n6wC7nwAAAAJ,Patrick Crowley,Washington University in St. Louis
n9_W4kYAAAAJ,Jonathan I. Maletic,Kent State University
Na16PsUAAAAJ,Hansen Andrew Schwartz,Stony Brook University
nafo_HAAAAAJ,Hui Yang 0001,Georgetown University
NaIdl8EAAAAJ,Rajeev Barua,University of Maryland - College Park
NAntFXIAAAAJ,Murali Annavaram,University of Southern California
NaVxc4wAAAAJ,Marty Humphrey,University of Virginia
NB2B59cAAAAJ,Farhad Pourkamali Anaraki,University of Massachusetts Lowell
N-BBA20AAAAJ,Richard G. Baraniuk,Rice University
nBcay4oAAAAJ,Jonathan Ragan-Kelley,University of California - Berkeley
nbpafUkAAAAJ,David McAllester,TTI Chicago
NB-SMk8AAAAJ,Fei Liu 0004,University of Central Florida
NByrsK0AAAAJ,Yixin Chen,Washington University in St. Louis
NC5SnUcAAAAJ,Rohit Chadha,University of Missouri
nChgOjEAAAAJ,Ross Maciejewski,Arizona State University
Ncn4IvUAAAAJ,Richard Chapman,Auburn University
ncnkwCMAAAAJ,Nigel Ward,University of Texas - El Paso
NCQuZX0AAAAJ,Dirk Van Gucht,Indiana University
ncxi_G4AAAAJ,Li-San Wang,University of Pennsylvania
ND0FM6EAAAAJ,Patrick Jaillet,Massachusetts Institute of Technology
nd8lQQIAAAAJ,Christos Faloutsos,Carnegie Mellon University
NdcgT00AAAAJ,Olac Fuentes,University of Texas - El Paso
nDH-AqwAAAAJ,John K. Ousterhout,Stanford University
Ne9-wmAAAAAJ,Jared Saia,University of New Mexico
NeDnx2EAAAAJ,Leah Findlater,University of Washington
nExKrpsAAAAJ,Jon Froehlich,University of Washington
Nf_0d9MAAAAJ,Witawas Srisa-an,University of Nebraska
Nf4G12YAAAAJ,Georg Seelig,University of Washington
nFb_T4wAAAAJ,Yoonsuck Choe,Texas A&M University
nFdbcvsAAAAJ,Miron Livny,University of Wisconsin - Madison
NFdG-GMAAAAJ,Yoav Freund,University of California - San Diego
nfHyDeUAAAAJ,Sungjin Ahn,Rutgers University
nfkH5V4AAAAJ,Wenke Lee,Georgia Institute of Technology
NfvUWXgAAAAJ,Ruta Mehta,Univ. of Illinois at Urbana-Champaign
ngLX-kwAAAAJ,Eric Keller,University of Colorado Boulder
NHIpV98AAAAJ,Bernhard E. Boser,University of California - Berkeley
nhpEPFgAAAAJ,Brenna D. Argall,Northwestern University
NhY4TT4AAAAJ,Edward D. Lazowska,University of Washington
NHZdlVkAAAAJ,Xenofon D. Koutsoukos,Vanderbilt University
niE2OkIAAAAJ,Mitch Marcus,University of Pennsylvania
nimapDwAAAAJ,Huaishu Peng,University of Maryland - College Park
NiRqwkcAAAAJ,Shubhangi Saraf,Rutgers University
NJ9c4ygAAAAJ,Frédo Durand,Massachusetts Institute of Technology
njczUPMAAAAJ,Cristian Danescu-Niculescu-Mizil,Cornell University
NjeM1LsAAAAJ,Renée J. Miller,Northeastern University
nJLcewkAAAAJ,Hui Lv 0001,Binghamton University
njNdGR0AAAAJ,Laurent Michel,University of Connecticut
nKR2tGvMLFMC,Vagelis Hristidis,University of California - Riverside
NkwzF2wAAAAJ,David Emory Irwin,University of Massachusetts Amherst
nLgg388AAAAJ,Haifeng Xu,University of Virginia
nLuHfy4AAAAJ,Tim Sherwood,University of California - Santa Barbara
NmP-rOAAAAAJ,Natalie Parde,University of Illinois at Chicago
nNU3STcAAAAJ,Peter Kazanzides,Johns Hopkins University
NO1Je2kAAAAJ,Jakub Szefer,Yale University
nOF9akgAAAAJ,Jedidiah R. Crandall,University of New Mexico
NoNHPb4AAAAJ,Seth Copen Goldstein,Carnegie Mellon University
NpcLBDsAAAAJ,Ian G. Harris,University of California - Irvine
NpvcLukAAAAJ,Doug Downey,Northwestern University
nq6IfV4AAAAJ,Matteo Cimini,University of Massachusetts Lowell
nq85o3QAAAAJ,Francisco J. Valero Cuevas,University of Southern California
NRrQjcIAAAAJ,Wenwen Dou,UNC - Charlotte
ns_6BgMAAAAJ,Lisong Xu,University of Nebraska
NScglmAAAAAJ,Tamara Sumner,University of Colorado Boulder
nSMS5H4AAAAJ,Tamara Denning,University of Utah
nst5fHgAAAAJ,Dina Katabi,Massachusetts Institute of Technology
NSwUmTMAAAAJ,Mahdi Nazm Bojnordi,University of Utah
nt2-TpIAAAAJ,Jinbo Xu,TTI Chicago
NTHsaUQAAAAJ,Madalina Fiterau,University of Massachusetts Amherst
nTMBPAIAAAAJ,Kelly E. Caine,Clemson University
ntU7-hwAAAAJ,Carlos Maltzahn,University of California - Santa Cruz
NtYVK_MAAAAJ,Gang Qu,University of Maryland - College Park
-NTZR-kAAAAJ,Charalampos Chelmis,University at Albany - SUNY
NU2aHWUAAAAJ,Ruihong Huang,Texas A&M University
nuaqmtQAAAAJ,Brittany A. Duncan,University of Nebraska
NU-FHh4AAAAJ,Wyatt Lloyd,Princeton University
Nut-uvoAAAAJ,Guo-Jun Qi,University of Central Florida
NuVArIYAAAAJ,Gary T. Leavens,University of Central Florida
NVAyqAgAAAAJ,Heiner Litz,University of California - Santa Cruz
NvKHgzkAAAAJ,Raluca A. Popa,University of California - Berkeley
nvKQ7JQAAAAJ,Peter Scheuermann,Northwestern University
nv-MV58AAAAJ,Chris Callison-Burch,University of Pennsylvania
nV-XGVIAAAAJ,Alessandro Roncone,University of Colorado Boulder
nwfZfqoAAAAJ,Alain J. Martin,California Institute of Technology
nwHfwCIAAAAJ,Yin Tat Lee,University of Washington
NWPDSEsAAAAJ,Andrej Risteski,Carnegie Mellon University
N_X_1oMAAAAJ,Stephen F. Siegel,University of Delaware
nX9D5AoAAAAJ,Karthik Sridharan,Cornell University
nXBQn7gAAAAJ,Stan Sclaroff,Boston University
nxNkEiYAAAAJ,Russ Tedrake,Massachusetts Institute of Technology
NXtRD1cAAAAJ,Colin Potts,Georgia Institute of Technology
_nyTrU0AAAAJ,Neal E. Young,University of California - Riverside
nYx9xasAAAAJ,Bertram Ludäscher,Univ. of Illinois at Urbana-Champaign
NyY8ztoAAAAJ,Victor B. Zordan,Clemson University
NzQu5SwAAAAJ,Vineet Bafna,University of California - San Diego
nztNRM0AAAAJ,Mahesh Viswanathan 0001,Univ. of Illinois at Urbana-Champaign
NzXVg-MAAAAJ,Mirela Alistar,University of Colorado Boulder
-o0o1B4AAAAJ,Max Schuchard,University of Tennessee
O0W9jEQAAAAJ,Karu Sankaralingam,University of Wisconsin - Madison
O125w4cAAAAJ,Senjuti Basu Roy,NJIT
O1yGhH0AAAAJ,Xiuzhen Cheng,George Washington University
O-29z5AAAAAJ,David Brumley,Carnegie Mellon University
o3ol4ZcAAAAJ,Dimitrios Koutsonikolas,University at Buffalo
o3wWRZMAAAAJ,Milind Kulkarni 0001,Purdue University
o43oc6AAAAAJ,Luke Olson,Univ. of Illinois at Urbana-Champaign
o-4PzycAAAAJ,Erman Ayday,Case Western Reserve University
o5YQMkMAAAAJ,Maja Mataric,University of Southern California
o75yGRIAAAAJ,Stephen Oney,University of Michigan
O_7MVDIAAAAJ,Eli Upfal,Brown University
O7uS3IUAAAAJ,Nathan D. Cahill,Rochester Institute of Technology
o7yFQXUAAAAJ,Sivaraman Balakrishnan,Carnegie Mellon University
O8XxkE4AAAAJ,Aidong Zhang,University of Virginia
O9teRZsAAAAJ,Paul V. Gratz,Texas A&M University
oAaMfQsAAAAJ,Ding-Zhu Du,University of Texas at Dallas
oAMW4OEAAAAJ,Micah Beck,University of Tennessee
oAqKi9MAAAAJ,Alan Mislove,Northeastern University
ob_3jn4AAAAJ,Kamin Whitehouse,University of Virginia
oCFvA2UAAAAJ,Patrick Traynor,University of Florida
OcIwjtEAAAAJ,Robert Kooima,Louisiana State University - Baton Rouge
OCmc_bYAAAAJ,Geoffrey S. Smith,Florida International University
OcN1_gwAAAAJ,Jinxiang Chai,Texas A&M University
odeKATgAAAAJ,Ruby B. Lee,Princeton University
OdWimfcAAAAJ,Barbara G. Ryder,Virginia Tech
OfcXtoIAAAAJ,Thomas R. Ioerger,Texas A&M University
OfYf-DMAAAAJ,Nikolaus Correll,University of Colorado Boulder
OG2QONwAAAAJ,David R. Choffnes,Northeastern University
og6bNK0qJtkC,Pavithra Prabhakar,Kansas State University
OgJKomcAAAAJ,Jason Polakis,University of Illinois at Chicago
oHbIF48AAAAJ,Brian Neil Levine,University of Massachusetts Amherst
ohjQPx8AAAAJ,Wen-Mei W. Hwu,Univ. of Illinois at Urbana-Champaign
OhniypkAAAAJ,Eraldo Ribeiro,Florida Institute of Technology
o_hq28oAAAAJ,Lan Wang,University of Memphis
oIdI_PcAAAAJ,Duane S. Boning,Massachusetts Institute of Technology
OImDWloAAAAJ,Abdullah Mueen,University of New Mexico
OJBW1aUAAAAJ,Lance Williams,University of New Mexico
oJESe-cAAAAJ,Lillian Lee,Cornell University
ojH7GEgAAAAJ,Linh T. X. Phan,University of Pennsylvania
OJKibFgAAAAJ,Shibu Yooseph,University of Central Florida
oJZuq9oAAAAJ,Glencora Borradaile,Oregon State University
oK3QM1wAAAAJ,Anupam Datta,Carnegie Mellon University
okcbLqoAAAAJ,Brian Kulis,Boston University
okx33sUAAAAJ,Nadia Heninger,University of California - San Diego
oK_XUmsAAAAJ,Aleksandra Korolova,University of Southern California
OLa9EKsAAAAJ,Jessica R. Hullman,Northwestern University
OLDMURQAAAAJ,Ümit V. Çatalyürek,Georgia Institute of Technology
oleB9xIAAAAJ,Gautam Das 0001,University of Texas at Arlington
oLEES1QAAAAJ,Carlos R. Rivero,Rochester Institute of Technology
OlRjTCIAAAAJ,Ada Gavrilovska,Georgia Institute of Technology
oM25EQkAAAAJ,Dan S. Wallach,Rice University
oMHn13QAAAAJ,Faisal Nawab,University of California - Santa Cruz
OmPAy2EAAAAJ,Weidong Shi,University of Houston
OMVTRscAAAAJ,Shih-Fu Chang,Columbia University
ONloO5IAAAAJ,Daniel A. Menascé,George Mason University
ONXC8_gAAAAJ,Yiannis Koutis,NJIT
oO1GPO8AAAAJ,Jeremy Blackburn,Binghamton University
Ooc7UNUAAAAJ,Mor Harchol-Balter,Carnegie Mellon University
OoItXTkAAAAJ,Ron Fedkiw,Stanford University
oOwNKsAAAAAJ,Piotr Indyk,Massachusetts Institute of Technology
OP27m34AAAAJ,Aaron Schulman,University of California - San Diego
oPFCNk4AAAAJ,Manmohan Krishna Chandraker,University of California - San Diego
oQ6AeyEAAAAJ,Michael D. Ernst,University of Washington
oq8WAwsAAAAJ,Stuart M. Shieber,Harvard University
oQsObk0AAAAJ,James A. Landay,Stanford University
orHlhhQAAAAJ,Gul Agha,Univ. of Illinois at Urbana-Champaign
OrhUjqEAAAAJ,Gheorghe Tecuci,George Mason University
ORr4XJYAAAAJ,Serge J. Belongie,Cornell University
OSArex4AAAAJ,Yanjie Fu,University of Central Florida
OsEwCzoAAAAJ,Jason Wiese,University of Utah
OsIZgIYAAAAJ,Philipp Koehn,Johns Hopkins University
OsJr4BMAAAAJ,Daniel Leithinger,University of Colorado Boulder
OsoQ-dcAAAAJ,Padhraic Smyth,University of California - Irvine
OSPeHGAAAAAJ,Earlence Fernandes,University of Wisconsin - Madison
OT79Y9UAAAAJ,Mostafa H. Ammar,Georgia Institute of Technology
ot-erTIAAAAJ,Jeffrey Overbey,Auburn University
otmdDLoAAAAJ,A. J. Ko 0001,University of Washington
otmdDLoAAAAJ,Amy J. Ko,University of Washington
ouKJUyEAAAAJ,William Whittaker,Carnegie Mellon University
oUle-6cAAAAJ,Theodore Raphan,CUNY
ouPBv-wAAAAJ,Yu Wang 0003,UNC - Charlotte
oUwEYt4AAAAJ,Wolfgang W. Bein,University of Nevada Las Vegas
